type,by,post_id,post_link,post_message,細分類,分類,大分,英文小標,picture,full_picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes_count_fb,comments_count_fb,reactions_count_fb,shares_count_fb,engagement_fb,comments_retrieved,comments_base,comments_replies,comment_likes_count,rea_NONE,rea_LIKE,rea_LOVE,rea_WOW,rea_HAHA,rea_SAD,rea_ANGRY,rea_THANKFUL,post_publ,年,月,日,1正評,2負,3中立,2+3,是否有負評,是否有正評
video,post_page_157215971120682,157215971120682_813718258803780,https://www.facebook.com/157215971120682/posts/813718258803780,??水球是大家聽起來有點熟悉但其實很陌生的運動 但他可是需要非常多球類的本領呢 這次中華隊也有派出水球代表隊 ??讓 熊讚Bravo和大家說說水球是怎麼比賽的喔!!  ?? 臺北世大運水球賽程：https://goo.gl/1BgP6L ?? 快來購票進場為選手加油 https://goo.gl/CXKQCW,水球,運動,H,Water Polo,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19944779_813718795470393_8565563079251722240_n.jpg?oh=37600e7dadb5201539fe26ae0da07517&oe=59FF0985,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19944779_813718795470393_8565563079251722240_n.jpg?oh=e5b4b51ba80f318bc83ef776d1953434&oe=59FC383F,https://www.facebook.com/taipei2017/videos/813718258803780/,facebook.com,2017-07-20T04:40:25+0000,1500525625,2017/7/20 06:40,1288,57,1352,183,1592,57,37,20,63,0,1283,21,17,26,0,0,0,2017/7/20,2017,7,20,20,0,2,2,0,1
video,post_page_157215971120682,157215971120682_719802821528658,https://www.facebook.com/157215971120682/posts/719802821528658,排球是學生時代的熱門運動， 相信這個運動你我都不陌生！ 看看熊讚打排球， 一起回味你我學生時代吧！  ?? 快來購票進場為選手加油 https://goo.gl/CXKQCW ?? 臺北世大運排球賽程：https://goo.gl/5kjhZr,排球,運動,H,Volleyball,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/16231801_719803831528557_8079657786784350208_n.jpg?oh=0b66d4e4985d9fc672e8a433f2da88a3&oe=5A2D6353,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/16231801_719803831528557_8079657786784350208_n.jpg?oh=e1f9ae7ccb6b7614696a8a09bea5404a&oe=59F8A7E9,https://www.facebook.com/taipei2017/videos/719802821528658/,facebook.com,2017-07-19T09:17:00+0000,1500455820,2017/7/19 11:17,1702,1,1777,122,1900,1,1,0,0,0,1699,59,2,14,0,0,0,2017/7/19,2017,7,19,28,1,4,5,1,0
photo,post_page_157215971120682,157215971120682_820124041496535,https://www.facebook.com/157215971120682/posts/820124041496535,In oriental cultures  the hollow inside of bamboo epitomizes intellects  virtues – modesty  honesty and decency.   Designed with the  Competition with Decency  concept from Confucius s book  The Analects  in mind  the cauldron torch employs elements such as the base of Taiwan s traditional hexagram bamboo pattern and the burner cone with bamboo weaving features shaped by advanced five-axis laser cutters.  The torch is now being passed in Taiwan on a   LOVE   path. You can follow the path at https://goo.gl/rXn594  ?? More Torch：https://goo.gl/Fp8Uaj ?? Closing Ceremony Tickets！http://tickets.2017.taipei,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20228296_820124041496535_5847119148493419820_n.jpg?oh=a13b313ff1292744828ee1e5d9857d9e&oe=5A36DEDA,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20228296_820124041496535_5847119148493419820_n.jpg?oh=652ef8069dffa1c53d6fd1542b9d409b&oe=59FBE125,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/820124041496535/?type=3,facebook.com,2017-07-19T03:44:00+0000,1500435840,2017/7/19 05:44,316,1,329,23,353,1,1,0,0,0,315,9,4,0,0,0,0,2017/7/19,2017,7,19,3,0,5,5,0,1
photo,post_page_157215971120682,157215971120682_820119044830368,https://www.facebook.com/157215971120682/posts/820119044830368,??世大運之星-桌球王子 江宏傑 Chiang Hung-Chieh ??  上週看完了小傑的快問快答?? 來複習一下小傑的絕技喔??  ?? 快來購票進場為選手加油 https://goo.gl/P85Qja ?? 臺北世大運桌球賽程：https://goo.gl/el8pbj,桌球,運動,H,Table Tennis,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/18486076_785295854979354_6889426456118649634_n.jpg?oh=ab014e9530a2ee96c46c628b72e1efdd&oe=5A2E517E,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/18486076_785295854979354_6889426456118649634_n.jpg?oh=bde98966374a749fa4f52f6277c4c969&oe=5A2A2481,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/785295854979354/?type=3,facebook.com,2017-07-18T11:12:23+0000,1500376343,2017/7/18 13:12,312,1,318,0,319,1,1,0,1,0,311,6,0,0,0,0,0,2017/7/18,2017,7,18,1,0,9,9,0,1
video,post_page_157215971120682,157215971120682_819968458178760,https://www.facebook.com/157215971120682/posts/819968458178760,??30天倒數　百人舞團一起世大運??  i u giugi senasena i你們會唱了嗎? 百人舞團一起舞動宣告世大運倒數30天  最後「一起世大運 8 倒數」 8月11日(五)晚上7點信義香堤廣場  大學生將展現青春之力帶來體育表演會 千萬別錯過喔!  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,倒數,倒數,F,F,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20175328_819970874845185_9101464303600402432_n.jpg?oh=7991765ae1a83f907940d2c2698fb5ab&oe=5A330A8E,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20175328_819970874845185_9101464303600402432_n.jpg?oh=3d25869705a18fabec7da68894dcff2f&oe=5A303934,https://www.facebook.com/taipei2017/videos/819968458178760/,facebook.com,2017-07-18T06:11:00+0000,1500358260,2017/7/18 08:11,600,8,618,54,680,8,8,0,0,0,599,14,3,1,0,0,0,2017/7/18,2017,7,18,2,0,2,2,0,1
photo,post_page_157215971120682,157215971120682_819529111556028,https://www.facebook.com/157215971120682/posts/819529111556028,??快來和我們一起追聖火  21 縣市傳遞第 4 站－宜蘭  明日 (7/19) 聖火即將要到 LOVE 的 O 第一個點－宜蘭 和聖火一起遊玩宜蘭吧！  另外 7 月 20 日、22日及 23 日也將抵達花蓮、苗栗與台中 各地的鄉親快快來追聖火喔??  ?? 更多國內聖火傳遞 https://goo.gl/rXn594 ? 快來High翻閉幕式買票去 https://goo.gl/AJpZAC  #追聖火 #宜蘭縣 #花蓮縣 #苗栗縣 #台中市 #2017臺北世大運 #Torchrelay #SUTaipei2017,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20139748_819529111556028_2158037654904909933_n.jpg?oh=5f2ef46a9f5d989157eb1da36c7d4f9d&oe=59EDD953,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20139748_819529111556028_2158037654904909933_n.jpg?oh=e94475fe9d845733542d93e62d79ae20&oe=5A2DACAC,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/819529111556028/?type=3,facebook.com,2017-07-18T03:44:00+0000,1500349440,2017/7/18 05:44,255,3,264,10,277,2,2,0,0,0,254,6,3,0,0,0,0,2017/7/18,2017,7,18,0,0,3,3,0,1
photo,post_page_157215971120682,157215971120682_819591548216451,https://www.facebook.com/157215971120682/posts/819591548216451,?? 2017臺北世大運競賽門票抽獎活動  【留言送好禮】活動～第一週～今日開跑 ??  2017臺北世大運競賽門票抽獎活動熱身開始！ 即日起至 8 月 27 日止，連續 6 週， 只要完成下面活動說明3步驟，就有機會得獎！ 每週一抽出前一星期參加活動的150位幸運朋友 快來留言參加！  ★活動說明： 1. 加入「競賽門票抽獎活動」活動頁面 https://goo.gl/k43yin 2. 在此篇貼文留言 #購買世大運競賽門票 #一起來為世大運選手加油 即可參加!! 3. 活動期間：本篇留言截止至7 月 23 日 23:59 止 ★得獎公佈日期： 7 月 24 日中午 12 時前 ★贈獎人數：150 位幸運朋友 ★活動贈品：世大運雙層玻璃隨行杯、超萌熊讚絨毛玩偶及世大運2in1掛牌行李束帶  快來訂閱活動頁面、留言抽好禮！ 更重要的是，購票進場為選手們加油打氣喔！  ★【競賽門票抽獎活動】活動訊息詳見 世大運競賽門票抽獎活動網站：https://luckydraw.2017.taipei 看比賽也能抽大獎，快來購票：https://tickets.2017.taipei,抽獎,抽獎,C,C,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/20106571_819591548216451_6669360297170587250_n.jpg?oh=b53a6940ce4250f3286a4eee28422b3c&oe=59EAC00D,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/20106571_819591548216451_6669360297170587250_n.jpg?oh=8c12692fcdfbb374933186f45a9f00c5&oe=5A34C6F2,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/819591548216451/?type=3,facebook.com,2017-07-17T12:14:54+0000,1500293694,2017/7/17 14:14,1428,1287,1463,289,3039,1268,1188,80,127,0,1412,32,1,2,0,0,0,2017/7/17,2017,7,17,0,0,0,0,0,1
video,post_page_157215971120682,157215971120682_819013891607550,https://www.facebook.com/157215971120682/posts/819013891607550,??一起世大運 30 倒數??  錯過30倒數活動的大家，不要難過，讓柯市長直播給你看!  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,倒數,倒數,F,F,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20172544_1071704016264911_2479551784679374848_n.jpg?oh=356772316184ba2dac64a04765874828&oe=5A2A53EC,https://scontent.xx.fbcdn.net/v/t15.0-10/20172544_1071704016264911_2479551784679374848_n.jpg?oh=f31f209020ae520033a0f39ddce2c5c2&oe=5A2CC597,https://www.facebook.com/DoctorKoWJ/videos/1071683582933621/,facebook.com,2017-07-16T09:52:03+0000,1500198723,2017/7/16 11:52,669,7,716,0,723,4,4,0,2,0,668,15,2,27,3,0,0,2017/7/16,2017,7,16,1,0,3,3,0,1
video,post_page_157215971120682,157215971120682_810181722490767,https://www.facebook.com/157215971120682/posts/810181722490767,??捍衛主場 非你不可??  ??用臺灣人的熱情  向全世界宣告 2017臺北世大運我們來了 準備好你的加油道具(海報)了嗎? 一起幫中華隊加油!!??  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19712675_810188739156732_8273324777058336768_n.jpg?oh=364733dff4c9bc7c3a4c756f27415bbe&oe=5A00E0D0,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19712675_810188739156732_8273324777058336768_n.jpg?oh=5c0e5105295098487e60dfee11004845&oe=59F7066A,https://www.facebook.com/taipei2017/videos/810181722490767/,facebook.com,2017-07-16T03:44:00+0000,1500176640,2017/7/16 05:44,533,6,542,31,579,4,4,0,1,0,532,5,0,4,0,0,0,2017/7/16,2017,7,16,0,0,1,1,0,1
video,post_page_157215971120682,157215971120682_818367841672155,https://www.facebook.com/157215971120682/posts/818367841672155,??陳盈駿飆 26 分 中華白 3 分之差惜敗??  7/15 中華白（世大運代表隊）首戰對決南韓， 陳盈駿獨拿 26 分、表現非常精采。雖然最後中華白以 84-87 吞敗， 但陳盈駿的精采表現，一定要透過畫面讓你回味~  ?? 8/20~8/29 籃球完整賽程資訊 https://goo.gl/FqWgKX ?? 購票進場熱血應援！https://goo.gl/rQ5QWC,籃球,運動,H,Basketball,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20156254_818368788338727_3735926918164250624_n.jpg?oh=78593157066e527a5b1cd575d5095acc&oe=59EB02C0,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20156254_818368788338727_3735926918164250624_n.jpg?oh=7efda760031c1fca966c97a9b257fed5&oe=5A31BB7A,https://www.facebook.com/taipei2017/videos/818367841672155/,facebook.com,2017-07-15T12:08:54+0000,1500120534,2017/7/15 14:08,561,4,577,11,592,3,3,0,0,0,560,10,1,0,5,0,0,2017/7/15,2017,7,15,277,4,80,84,1,0
photo,post_page_157215971120682,157215971120682_812003042308635,https://www.facebook.com/157215971120682/posts/812003042308635,Stretching from Xindian to Songshan  the Green Line of Taipei MRT brings you from the Bitan (Jade Lake) attraction to Raohe Night Market – one of Taipei s street delicacy destinations.??????  Of course  the Universiade events are too exciting to miss out on. So hurry up  embark on the Green Line to attend the following events:  1. Gongguan (G07): volleyball  at the National Taiwan University Sports Center.?? 2. Taipei Arena (G17): basketball  at the Taipei Arena; athletics  at the Taipei Stadium; badminton  at the Taipei Gymnasium.???????  MRT passes can be conveniently purchased at all entrances of each station. ??  For the competition Schedule: https://goo.gl/rD7xup Tickets Information: https://tickets.2017.taipei/  For more information about Taipei MRT  please visit ?? http://english.metro.taipei,英文,英文,E,E,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19702496_812002318975374_3848941880349276462_n.jpg?oh=9c8cae08dd8748711b17822b151b0e9b&oe=59EC6BEA,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19702496_812002318975374_3848941880349276462_n.jpg?oh=9f5b0b890a0c6919f98006d10e8873b7&oe=59F50A15,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/812002318975374/?type=3,facebook.com,2017-07-15T09:17:00+0000,1500110220,2017/7/15 11:17,481,4,491,12,507,2,2,0,0,0,480,10,0,0,0,0,0,2017/7/15,2017,7,15,68,0,5,5,0,1
photo,post_page_157215971120682,157215971120682_810097642499175,https://www.facebook.com/157215971120682/posts/810097642499175,??世大運中華隊籃球賽程??  ?世大運男女籃分別由 外籍總教練Charlie Parker及Albert Kenyon Wagner領軍 上屆中華女籃以第七名作收，這次要重返榮耀 男籃則是與南韓同為A組力拚晉級  ?要靠大家進場發揮主場力量 一起到現場為中華隊加油????  8/20~8/29籃球完整賽程資訊?? https://goo.gl/FqWgKX ?? 購票進場熱血應援！http://tickets.2017.taipei,籃球,運動,H,Basketball,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19554864_810097642499175_3216197300252713521_n.jpg?oh=82f5f94612f22abaa433424ec44470fb&oe=5A33864C,https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/19488508_810097642499175_3216197300252713521_o.jpg?oh=b812819ff7a5eeb3188e7314ae09530c&oe=5A36BDF8,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/810097642499175/?type=3,facebook.com,2017-07-15T03:44:00+0000,1500090240,2017/7/15 05:44,401,20,409,14,443,19,14,5,2,0,401,8,0,0,0,0,0,2017/7/15,2017,7,15,20,1,1,2,1,0
photo,post_page_157215971120682,157215971120682_817823278393278,https://www.facebook.com/157215971120682/posts/817823278393278,??最萌組合！彩繪列車一較高下??  世大運宣傳大使 熊讚Bravo 和  悠遊卡 EasyCard公司吉祥物BEBE 一同出現捷運松山站搭乘世大運彩繪列車， 萌得整個車廂的人不要不要的  還沒來體驗的朋友們 快快一起搭乘世大運彩繪列車 為世大運選手加油！  ?? 更多世大運彩繪列車 https://goo.gl/hSMBPv ?? 快來安排觀賽日程 https://goo.gl/BeWhh7 ?? 購票進場熱血應援 http://tickets.2017.taipei,吉祥物,運動,H,H,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19990365_817823088393297_2652733030688197780_n.jpg?oh=9d162330c3280d6aeb80187b38d5d0f5&oe=59F5B38B,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19990365_817823088393297_2652733030688197780_n.jpg?oh=61d6c16e035eef7666f38b65f8463dbe&oe=5A326474,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/817823088393297/?type=3,facebook.com,2017-07-15T01:44:00+0000,1500083040,2017/7/15 03:44,1580,23,1737,48,1808,22,17,5,4,0,1576,66,5,86,0,0,0,2017/7/15,2017,7,15,22,0,2,2,0,1
photo,post_page_157215971120682,157215971120682_817729705069302,https://www.facebook.com/157215971120682/posts/817729705069302,??警犬隊六小萌　現身臺北田徑場??  田徑場來了一群可愛小夥伴－警犬隊六小萌 跟著他們的哥哥姐姐們 新北市政府警察局 警犬隊 NTPD K-9 Unit 穿梭在田徑場內，雖然只是見習，也是很有架勢的喔！  有了這些強力的後援，大家可以安心的進場觀看比賽 一起為選手們加油打氣喔！！  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ?? 購票進場熱血應援！http://tickets.2017.taipei,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19961326_1374802152557442_6596530708290527271_n.jpg?oh=7ce46f2ca2d7bb989eb7850857eff587&oe=59EF0354,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19961326_1374802152557442_6596530708290527271_n.jpg?oh=12a9979efcbbfa4e3ca28689df58ba92&oe=59FA8041,https://www.facebook.com/NPA4U/photos/a.827869690584027.1073741828.818773044827025/1374802152557442/?type=3,facebook.com,2017-07-14T09:17:00+0000,1500023820,2017/7/14 11:17,1515,33,1742,0,1775,33,21,12,7,0,1512,182,3,41,0,0,0,2017/7/14,2017,7,14,1,0,0,0,0,1
video,post_page_157215971120682,157215971120682_813606085481664,https://www.facebook.com/157215971120682/posts/813606085481664,?? 一年一度的瓊斯盃男生組即將於明天開打囉 ??   中華白隊也是世大運代表隊喔! 以賽代訓，球員們的表現想要先賭為快嗎? 瓊斯盃官網：http://jonescup.choxue.com/  世大運籃球賽也將於 8/20-8/29 熱血開打 ?? 購票進場來為選手們加油打氣喔！https://goo.gl/rQ5QWC ?? 籃球完整賽程資訊 https://goo.gl/FqWgKX,籃球,運動,H,Basketball,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19934273_813606488814957_2542476869496733696_n.jpg?oh=f4eb3bfd2a70b2b7455b2f7fe6469045&oe=5A007630,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19934273_813606488814957_2542476869496733696_n.jpg?oh=f4ecfea701d0d646381e045908326786&oe=5A2D968A,https://www.facebook.com/taipei2017/videos/813606085481664/,facebook.com,2017-07-14T06:32:17+0000,1500013937,2017/7/14 08:32,609,8,630,46,684,8,6,2,2,0,609,20,1,0,0,0,0,2017/7/14,2017,7,14,9,0,0,0,0,1
video,post_page_157215971120682,157215971120682_817376395104633,https://www.facebook.com/157215971120682/posts/817376395104633,??聖火傳遞- 澎湖以海陸會合 其中字母 L 串連澎湖、金門、連江三離島 7 月 13 日抵達首站澎湖縣 以陸海會合方式完成澎湖聖火傳遞任務???? 下一站 7 月 15 日交給金門鄉親囉!  ?? 更多火炬介紹 https://goo.gl/Fp8Uaj ?? 一起來追聖火 https://goo.gl/rXn594 ?? 想要看聖火點燃嗎? https://goo.gl/xr1dgr  The L part of the route spans the three outlying island counties. The domestic torch relay started in Penghu  The sacred flame was carried by windsurfing board.  More Torch??https://goo.gl/Fp8Uaj Torch Relay??https://goo.gl/rXn594 Flaming Ceremony??https://goo.gl/xr1dgr,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20064112_817379898437616_3303797889007878144_n.jpg?oh=6b618e320d10003df2c48a5e48e2ee17&oe=5A3934FF,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20064112_817379898437616_3303797889007878144_n.jpg?oh=d4d7458cef1ff2459e9487dea415de3d&oe=5A32AC45,https://www.facebook.com/taipei2017/videos/817376395104633/,facebook.com,2017-07-14T02:44:00+0000,1500000240,2017/7/14 04:44,647,10,667,38,715,10,6,4,4,0,647,15,5,0,0,0,0,2017/7/14,2017,7,14,6,0,0,0,0,1
video,post_page_157215971120682,157215971120682_817777678397838,https://www.facebook.com/157215971120682/posts/817777678397838,? 8 月 30 日閉幕式～向選手們致敬?? 8月30日閉幕式 熱血揮灑後、青春狂飆後 我們都要一起來向選手們致敬！ 流行音樂女聲唱將、獨立樂團和好多表演藝術團體都來了～ 那你呢？ ? 快來High翻閉幕式買票去→https://goo.gl/AJpZAC ?? 更多2017臺北世大運閉幕式 https://goo.gl/2voxvQ,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20107381_817779968397609_5238183333002739712_n.jpg?oh=82be670f0f48c9b5ea1c726d952a982a&oe=59EAFDFC,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20107381_817779968397609_5238183333002739712_n.jpg?oh=39d9af3bf8dcb2c13926e61259c7055e&oe=59FE3B46,https://www.facebook.com/taipei2017/videos/817777678397838/,facebook.com,2017-07-12T16:00:00+0000,1499875200,2017/7/12 18:00,586,8,605,112,725,4,4,0,2,0,585,19,0,0,0,0,0,2017/7/12,2017,7,12,4,0,0,0,0,1
video,post_page_157215971120682,157215971120682_816040861904853,https://www.facebook.com/157215971120682/posts/816040861904853,??聖火傳遞?以愛為名?  國內聖火傳遞正在如火如荼的進行著 大家知道2017臺北世大運的聖火火炬為什麼會這麼美嗎?  讓設計師們和你說他們的心血結晶 ?  ?? 更多火炬介紹 https://goo.gl/Fp8Uaj ?? 一起來追聖火 https://goo.gl/rXn594 ?? 想要看聖火點燃嗎? https://goo.gl/xr1dgr  ??Torch Relay  In the Name of Love ?  The torch design of the Taipei 2017 SU was inspired by the idea of “Gentlemanly Fair Play” in the Confucian Analects.  More Torch??https://goo.gl/Fp8Uaj Torch Relay??https://goo.gl/rXn594 Flaming Ceremony??https://goo.gl/xr1dgr,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20010192_816072151901724_2259438382956412928_n.jpg?oh=44d2c8d25bcd1b9abfc669da9204dc42&oe=59F6DF56,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20010192_816072151901724_2259438382956412928_n.jpg?oh=db03e0194e3685ef8d8f0da623aab24f&oe=5A3826EC,https://www.facebook.com/taipei2017/videos/816040861904853/,facebook.com,2017-07-12T09:17:00+0000,1499851020,2017/7/12 11:17,758,3,789,89,881,3,2,1,0,0,758,26,5,0,0,0,0,2017/7/12,2017,7,12,12,0,0,0,0,1
photo,post_page_157215971120682,157215971120682_816443398531266,https://www.facebook.com/157215971120682/posts/816443398531266,??快來和我們一起追聖火  21 縣市傳遞第一站－澎湖??　  明日 (7/13) 聖火即將要到 LOVE 的 L 第一個點－澎湖 快來看聖火在風帆上傳遞喔！  另外 7 月 15 日及 7 月 17 日也將抵達金門與馬祖 想要在外島一賭聖火風采的大家不要錯過囉！  ?? 更多國內聖火傳遞 https://goo.gl/rXn594 ?? 想要看聖火點燃嗎? https://goo.gl/xr1dgr  #追聖火 #澎湖縣 #金門縣 #連江縣 #2017臺北世大運 #Torchrelay #SUTaipei2017,開幕,開幕,I,I,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19884430_816443398531266_9065805793899062166_n.jpg?oh=db50a024d5bd491fae5117fa99961e4b&oe=59F04A99,https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/19884430_816443398531266_9065805793899062166_n.jpg?oh=030dcbc031c454ccd134761f6158e0b7&oe=5A337666,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/816443398531266/?type=3,facebook.com,2017-07-12T03:44:36+0000,1499831076,2017/7/12 05:44,330,2,337,16,355,0,0,0,0,0,329,2,4,1,0,0,0,2017/7/12,2017,7,12,1,0,2,2,0,1
video,post_page_157215971120682,157215971120682_816035555238717,https://www.facebook.com/157215971120682/posts/816035555238717,??一份努力一份堅持 我們讓世界聽到這座島嶼的名字??  2017臺北世大運官方贊助商昇恆昌 站在迎向世界的第一線 為遠征各地的臺灣選手們，獻上祝福  運動觸動心中的感動 2017臺北世大運與您一同見證臺灣選手的成就!  更多精彩故事 在2017臺北世大運官方贊助商 EVER RICH 昇恆昌 https://goo.gl/eqkIxU  ?? 快來安排觀賽日程：https://goo.gl/BeWhh7 ??? 一起進場熱血應援！http://tickets.2017.taipei,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19183182_1611737082192417_7871518208421789696_n.jpg?oh=c3f9189702360362f365902419128ce7&oe=59FDDDA5,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19183182_1611737082192417_7871518208421789696_n.jpg?oh=ccd9812cb5db4d17e9f77a87e64fcf1e&oe=5A363887,https://www.facebook.com/everrich.dutyfreeshop/videos/1611731552192970/,facebook.com,2017-07-11T11:00:40+0000,1499770840,2017/7/11 13:00,337,4,350,0,354,4,3,1,3,0,337,10,1,2,0,0,0,2017/7/11,2017,7,11,4,0,0,0,0,1
video,post_page_157215971120682,157215971120682_807267099448896,https://www.facebook.com/157215971120682/posts/807267099448896,??為世大運選手喝采 非你不可??  ??歷屆世大運得牌選手號召大學生們站出來 ??8/19~8/30進場為中華隊加油! ?用熱情讓全世界看見臺灣 ??? 一起進場熱血應援！http://tickets.2017.taipei ?? 快來安排觀賽日程：https://goo.gl/BeWhh7,其他,售票,K,K,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/19530934_807268059448800_2532648322171142144_n.jpg?oh=2963a83a75e261453808e3137cb36d5e&oe=5A3688EE,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/19530934_807268059448800_2532648322171142144_n.jpg?oh=d22f566ccc325051ed6a5ed60bf379eb&oe=59F0CF54,https://www.facebook.com/taipei2017/videos/807267099448896/,facebook.com,2017-07-11T03:44:00+0000,1499744640,2017/7/11 05:44,578,4,591,22,617,1,1,0,0,0,578,11,0,2,0,0,0,2017/7/11,2017,7,11,0,0,0,0,0,1
photo,post_page_157215971120682,157215971120682_815519288623677,https://www.facebook.com/157215971120682/posts/815519288623677,其他,其他,一般推廣,B,B,https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/19990235_815519451956994_3483298005662346785_n.jpg?oh=c1283a8ad8d33fe1d4514ee004dc7222&oe=5A2F45F8,https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/19990235_815519451956994_3483298005662346785_n.jpg?oh=adb3857cd77f4dd62173ebebdfd8b7d3&oe=59F5B439,https://www.facebook.com/taipei2017/photos/a.157858541056425.1073741828.157215971120682/815519451956994/?type=3,facebook.com,2017-07-10T10:44:00+0000,1499683440,2017/7/10 12:44,9345,361,9986,886,11233,361,191,170,963,0,9326,318,269,51,0,2,0,2017/7/10,2017,7,10,2,1,0,1,1,0
video,post_page_157215971120682,157215971120682_789971467845126,https://www.facebook.com/157215971120682/posts/789971467845126,??江宏傑 Chiang Hung-Chieh快問快答?? 小傑在球檯上快狠準，是否也能招架的了快問快答呢?  ??桌球王子江宏傑今年也將代表臺灣出征世大運 ??透過快問快答來看看不一樣的他吧！（好可愛唷）??  ??江宏傑的絕技：https://goo.gl/HbtXxI ??臺北世大運桌球：https://goo.gl/el8pbj ?? 一起進場為選手加油 https://goo.gl/P85Qja,桌球,運動,H,Table Tennis,https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/18737688_789973397844933_7040651854388133888_n.jpg?oh=70c7838523f0ffb465f97e34a04a730c&oe=59F8D9DF,https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/18737688_789973397844933_7040651854388133888_n.jpg?oh=65b649c9226072ffdab90ae21226645f&oe=59EEF465,https://www.facebook.com/taipei2017/videos/789971467845126/,facebook.com,2017-07-10T09:17:00+0000,1499678220,2017/7/10 11:17,2078,73,2383,154,2610,73,44,29,24,0,2076,135,0,169,0,0,0,2017/7/10,2017,7,10,16,0,1,1,0,1
